备注：S盒的输出均在  left部分，也就是密文中的 63 ~ 32 部分

S盒输出	      P置换后          密文对            对应的下标集合(31~0)

1,2,3,4            9,17,23,31       55,47,41,33     23,15,9,1

5,6,7,8            13,28,2,18       51,36,62,46     19,4,30,14

9,10,11,12       24,16,30,6       40,48,34,58     8,16,2,26

13,14,15,16     26,20,10,1       38,44,54,63     6,12,22,31

17,18,19,20     8,14,25,3         56,50,39,61     24,18,7,29

21,22,23,24     4,29,11,19       60,35,53,45     28,3,21,13

25,26,27,28     32,12,22,7       32,52,42,57     0,20,10,25

29,30,31,32     5,27,15,21       59,37,49,43     27,5,17,11

x                    P(x)                 64 - P(x)         32 - P(x) 
